Acronym,Definition
UV,Ultraviolet
UVEX,Ultraviolet Explorer
UVIS,Ultraviolet-Visible-Infrared Spectrophotometer
UVS,Ultraviolet Spectrograph
UX,User Experience
VAB,Vehicle Assembly Building
VADR,Venture-Class Acquisition of Dedicated and Rideshare
VAR,VAR Variance Analysis Report
VASI,Venus Atmospheric Structure Investigation
VCD,VCD Vapor Compression Distillation
VCLS,Venture Class Launch Services
VE,VE Value Engineering
VEDA,"Visualization, Exploration, and Data Analysis"
VEM,Venus Emissivity Mapper
VERITAS,"Venus Emissivity, Radio Science, InSAR, Topography, and Spectroscopy"
VERS,Vulcan Engine Reuse Scale
VIIRS,Visible Infrared Imaging Radiometer Suite
VIPER,Volatiles Investigating Polar Exploration Rover
VIPR,Vapor In-Cloud Profile Radar
VISAR,Venus Interferometric Synthetic Aperture Radar
VISE,Vehicle Interfaces to Suit Equipment
VISOR,Venus Imagining System for Observational Reconnaissance
VLA,VLA Vehicle Loads Analysis
VLBI,Very Long Baseline Interferometry
VLISM,Very Local Interstellar Medium
VMS,Venus Mass Spectrometer
VNIR,Visible and Near-Infrared Reflectance
VOI,Venus Orbit Insertion
VOSB,VOSB Veteran-Owned Small Business
VPCAR,VPCAR Vapor Phase Catalytic Ammonia Reactor
VPERD,VPERD Verification Plan and Engineering Requirements Document
VPP,Voluntary Protection Program
VRR,VRR Verification Readiness Review
VRT,VIPER Review Team
VSAT,Vertical Solar Array Technology
VSFB,Vandenberg Space Force Base
VTL,VTL Verification Tracking Log
VTLS,Venus Tunable Laser Spectrometer
VTOL,Vertical Take-Off and Landing
WAVES,Radio and Plasma Wave Experiment
WBS,Work Breakdown Structures
WCD,Workforce Competency Dictionary
WCF,Working Capital Fund
WCU,Women's Colleges and University
WFCA,Water Flow Control Assembly
WFF,Wallops Flight Facility
WFI,Water for Injection
WHC,Waste and Hygiene Compartment
WHIHBCU,White House Initiative for HBCUs
WISE,Wide-field Infrared Survey Explorer
WMKO,W.M. Keck Observatory
WOMA,Wide Field Instrument Opto-Mechanical Assembly
WONDER,Water Offset Nutrient Delivery Experiment
WOSB,Woman Owned Small Businesses
WP,Water Processor
WPA,Water Processor Assembly
WR,Water Reclamation
WRS,Water Recovery System
WSC,White Sands Complex
WSTF,White Sands Test Facility
WWAO,Western Water Applications Office
XMM,X-ray Multi-Mirror Mission
XRISM,X-Ray Imaging and Spectroscopy Mission
XVS,Xternal Vision System
ZBOT,Zero Boil-Off Tank Experiment
ZBR,ZBR Zero Base Review
ZEV,Zero Emission Vehicle
ZGF,ZGF Zero Gravity Facility
ZIN,ZIN ZIN Technologies
dlm,Downlink Manager
eZLS,Enhanced Zero-g Locomotion Simulator
iRED,Interim Resistive Exercise Device
microMRF,"Micromechanics of Magnetorheological Fluids, LMM-5"
microSCALE,Microscale Hydrodynamics Near Moving Contact Lines Experiment
microSiGMA,"Micro Solids Interacting with Gas in a Microgravity Apparatus Experiment, GFM-2"
microgSEG,"Particle Segregation in Collisional Sheering Flows Experiment, GFM-1"
sZLS,Standalone Zero-g Locomotion Simulator
u.s. government, U.S. Government
launch vehicle, Launch Vehicle
FOMSS,Facilities Operations Maintenance Support Services
IDIQ,Indefinite Delivery Indefinite Quantity
BPA,Blanket Purchase Agreement
MOA,Memorandum of Agreement
MOU,Memorandum of Understanding
BAA,Broad Agency Announcement
RFP,Request for Proposal
SOW,Statement of Work
CPFF,Cost Plus Fixed Fee
CPIF,Cost Plus Incentive Fee
CPR,Cost Performance Report
EVM,Earned Value Management
FAR,Federal Acquisition Regulation
NFS,NASA FAR Supplement
ACO,Administrative Contracting Officer
COR,Contracting Officer's Representative
ACRN,Accounting Classification Reference Number
WBS,Work Breakdown Structure
MIPSS, Marshall Integrated Program Support Services
ESD,Exploration Systems Development
CLIN,Contract Line Item Number
OIG,Office of Inspector General
OSBP,Office of Small Business Programs
NPD,NASA Policy Directive
NPR,NASA Procedural Requirements
RAA,Research Announcement Amendment
SAAM,Strategic Acquisition Analysis and Management
NSSC,NASA Shared Services Center
IEMP,Integrated Enterprise Management Program
ROD,Record of Decision
DRD,Data Requirements Document
OCI,Organizational Conflict of Interest
PWS,Performance Work Statement
ODC,Other Direct Costs
WAD,Work Authorization Document
NODIS,NASA Online Directives Information System
ACO,Administrative Contracting Officer
MOD,Mission Operations Directorate
FOMSS, Facilities Operations Maintenance Support Services
FY, Fiscal Year
Phase i, Phase I
CCTCAP, Commercial Crew Program (CCP) commercial crew transportation capability
NATS, Network and Telecommunications Services
ML1, Mobile Launcher 1
KOIS, Kennedy Operational and Institutional Support
ESDC, Engineering Services During Construction
HLS, Human Landing System
